label,message
ham,"Hello how are you doing today?"
spam,"Congratulations! You've won a $500 gift card. Click here to claim."
ham,"Are we still meeting at 5 PM today?"
spam,"Win a brand new car! Reply WIN to enter."
ham,"Don't forget to bring the documents for tomorrow."
spam,"You have been selected for a free vacation. Call now!"
ham,"Please review the report before the meeting."
spam,"Exclusive offer just for you. Buy now!"
ham,"Let's have lunch together tomorrow."
spam,"URGENT! Your account has been compromised. Verify immediately."
ham,"Good morning, hope you have a great day!"
spam,"You have won free movie tickets. Claim them now!"
ham,"Can you send me the updated file?"
spam,"Your loan has been approved. Contact us now!"
ham,"Happy birthday! Wishing you all the best."
spam,"Get 70% discount on all items today only!"
ham,"See you at the conference next week."
spam,"You are the lucky winner of our contest. Claim now!"
ham,"Let’s catch up over coffee sometime."
spam,"You have received a free gift. Click to redeem."
